Timestamp,Email Address,Name,State,License Type,Availability
,dakota.wilson@sample.org,Dakota Wilson,VA,Social Worker,"Monday 10:30 AM, Tuesday 11:00 AM, Tuesday 12:00 PM, Wednesday 12:30 PM, Wednesday 3:00 PM, Thursday 11:00 AM, Friday 1:00 PM"
,alex.davis@example.com,Alex Davis,ME,Counselor,"Monday 5:00 PM, Tuesday 12:30 PM, Tuesday 4:30 PM, Tuesday 5:30 PM, Tuesday 6:00 PM, Thursday 1:00 PM, Thursday 2:30 PM, Friday 8:00 AM, Friday 9:00 AM, Friday 12:30 PM, Friday 3:00 PM, Friday 6:00 PM"
,logan.cooper@mail.net,Logan Cooper,MD,Marriage and Family Therapist,"Tuesday 8:30 AM, Thursday 12:00 PM, Thursday 2:00 PM, Thursday 4:30 PM, Friday 9:00 AM, Friday 1:00 PM"
,harper.brooks@sample.org,Harper Brooks,AR,Marriage and Family Therapist,"Monday 5:30 PM, Tuesday 9:00 AM, Tuesday 4:30 PM, Tuesday 5:30 PM, Wednesday 11:00 AM, Wednesday 1:00 PM, Wednesday 1:30 PM, Thursday 10:00 AM, Friday 8:30 AM, Friday 10:30 AM, Friday 4:00 PM"
,sam.martinez@mail.net,Sam Martinez,IA,Marriage and Family Therapist,"Monday 11:30 AM, Monday 4:30 PM, Monday 5:00 PM, Tuesday 1:00 PM, Wednesday 11:30 AM, Wednesday 1:00 PM, Wednesday 1:30 PM, Wednesday 4:30 PM, Thursday 10:00 AM, Thursday 12:00 PM, Friday 11:00 AM, Friday 5:30 PM"
,rowan.garcia@sample.org,Rowan Garcia,TN,Social Worker,"Monday 11:00 AM, Monday 1:30 PM, Tuesday 9:30 AM, Tuesday 2:30 PM, Wednesday 10:30 AM, Wednesday 11:00 AM, Thursday 10:30 AM, Friday 9:00 AM, Friday 12:00 PM"
,avery.hernandez@mail.net,Avery Hernandez,CA,Counselor,"Monday 8:30 AM, Tuesday 9:30 AM, Tuesday 10:30 AM, Tuesday 11:00 AM, Tuesday 4:30 PM, Wednesday 8:00 AM, Wednesday 5:30 PM, Thursday 12:00 PM, Thursday 2:00 PM, Friday 8:30 AM, Friday 12:00 PM, Friday 2:30 PM"
,taylor.lopez@mail.net,Taylor Lopez,WI,Psychologist,"Tuesday 10:30 AM, Tuesday 12:30 PM, Wednesday 12:00 PM, Thursday 11:30 AM, Thursday 3:00 PM, Friday 10:30 AM, Friday 11:00 AM"
,morgan.patel@sample.org,Morgan Patel,MO,Psychologist,"Monday 2:00 PM, Tuesday 2:00 PM, Tuesday 5:00 PM, Wednesday 9:30 AM, Wednesday 10:00 AM, Wednesday 4:30 PM, Thursday 8:00 AM, Thursday 9:00 AM, Thursday 6:00 PM, Friday 5:00 PM"
,jamie.bennett@mail.net,Jamie Bennett,MA,Counselor,"Monday 9:00 AM, Monday 10:30 AM, Monday 5:00 PM, Tuesday 11:30 AM, Tuesday 5:30 PM, Wednesday 1:00 PM, Thursday 12:30 PM, Friday 1:00 PM"
,logan.jenkins@sample.org,Logan Jenkins,PA,Psychologist,"Monday 5:30 PM, Tuesday 10:00 AM, Tuesday 12:00 PM, Tuesday 1:00 PM, Wednesday 8:00 AM, Wednesday 11:00 AM, Thursday 8:00 AM, Thursday 12:30 PM"
,hayden.lee@mail.net,Hayden Lee,UT,Marriage and Family Therapist,"Tuesday 8:00 AM, Wednesday 4:00 PM, Wednesday 6:00 PM, Thursday 5:30 PM, Friday 12:00 PM, Friday 12:30 PM, Friday 1:00 PM, Friday 2:30 PM"
,casey.ramirez@sample.org,Casey Ramirez,WA,Psychologist,"Monday 10:00 AM, Monday 11:30 AM, Monday 12:30 PM, Thursday 10:00 AM, Thursday 11:00 AM, Thursday 5:30 PM, Friday 6:00 PM"
,peyton.gonzalez@mail.net,Peyton Gonzalez,AL,Psychologist,"Monday 8:30 AM, Monday 12:00 PM, Monday 5:30 PM, Tuesday 11:00 AM, Tuesday 12:00 PM, Thursday 4:30 PM, Friday 11:00 AM"
,skyler.wilson@mail.net,Skyler Wilson,AR,Psychologist,"Monday 8:00 AM, Monday 8:30 AM, Monday 9:00 AM, Tuesday 3:00 PM, Tuesday 3:30 PM, Wednesday 1:00 PM, Wednesday 6:00 PM, Thursday 10:00 AM, Thursday 10:30 AM, Thursday 11:30 AM, Friday 12:00 PM"
,alex.gonzalez@example.com,Alex Gonzalez,VT,Psychologist,"Monday 2:00 PM, Monday 2:30 PM, Monday 5:30 PM, Tuesday 8:30 AM, Tuesday 9:30 AM, Tuesday 12:30 PM, Tuesday 1:30 PM, Tuesday 2:30 PM, Wednesday 9:30 AM, Thursday 10:00 AM, Thursday 4:00 PM, Friday 6:00 PM"
,quinn.cooper@sample.org,Quinn Cooper,MT,Psychologist,"Monday 10:00 AM, Monday 1:00 PM, Monday 1:30 PM, Tuesday 11:30 AM, Tuesday 1:00 PM, Tuesday 4:30 PM, Thursday 6:00 PM, Friday 9:30 AM, Friday 10:30 AM, Friday 2:30 PM"
,quinn.gonzalez@sample.org,Quinn Gonzalez,OK,Psychologist,"Monday 8:30 AM, Monday 1:00 PM, Tuesday 8:00 AM, Thursday 8:00 AM, Thursday 5:00 PM, Friday 10:30 AM"
,logan.gonzalez@sample.org,Logan Gonzalez,MI,Social Worker,"Monday 10:30 AM, Monday 12:30 PM, Tuesday 11:00 AM, Tuesday 12:00 PM, Tuesday 2:30 PM, Tuesday 3:00 PM, Wednesday 5:00 PM, Thursday 12:30 PM, Friday 9:30 AM, Friday 10:00 AM"
,peyton.bennett@mail.net,Peyton Bennett,AZ,Counselor,"Monday 9:00 AM, Monday 12:30 PM, Monday 5:00 PM, Monday 6:00 PM, Tuesday 10:30 AM, Tuesday 4:30 PM, Tuesday 5:30 PM, Wednesday 12:00 PM, Thursday 12:30 PM, Thursday 2:00 PM, Friday 11:30 AM, Friday 2:00 PM"
,logan.patel@example.com,Logan Patel,MO,Marriage and Family Therapist,"Monday 1:00 PM, Monday 4:30 PM, Thursday 8:30 AM, Friday 10:00 AM, Friday 12:00 PM, Friday 1:00 PM, Friday 1:30 PM, Friday 2:00 PM, Friday 4:30 PM"
,morgan.brown@sample.org,Morgan Brown,NV,Counselor,"Monday 9:30 AM, Monday 12:30 PM, Tuesday 2:30 PM, Tuesday 6:00 PM, Wednesday 8:30 AM, Wednesday 12:00 PM, Thursday 2:30 PM, Thursday 3:00 PM, Thursday 3:30 PM, Thursday 5:00 PM, Friday 3:00 PM, Friday 3:30 PM"
,reese.jenkins@sample.org,Reese Jenkins,MN,Psychologist,"Monday 1:00 PM, Tuesday 9:00 AM, Tuesday 4:00 PM, Wednesday 11:00 AM, Thursday 1:30 PM, Thursday 4:00 PM, Friday 8:00 AM, Friday 9:30 AM, Friday 3:00 PM"
,morgan.rivera@example.com,Morgan Rivera,CO,Marriage and Family Therapist,"Monday 5:30 PM, Wednesday 11:00 AM, Wednesday 11:30 AM, Thursday 5:00 PM, Friday 11:30 AM, Friday 1:00 PM, Friday 4:00 PM"
,riley.patel@sample.org,Riley Patel,CO,Social Worker,"Monday 1:30 PM, Monday 2:30 PM, Monday 4:00 PM, Tuesday 9:00 AM, Tuesday 2:30 PM, Wednesday 10:00 AM, Wednesday 3:00 PM, Friday 2:30 PM"
,jordan.wilson@sample.org,Jordan Wilson,OK,Psychologist,"Monday 9:30 AM, Monday 1:30 PM, Wednesday 9:30 AM, Thursday 11:30 AM, Thursday 2:30 PM, Friday 4:00 PM"
