assoc_idx,sup_idx,Associate,Associate Email,Associate State,Associate License,Associate Availability,Supervisor,Supervisor Email,Supervisor State,Who can you supervise?,Supervisor Availability,Capacity,AvailabilityOverlap,AvailabilityScore,Label,Reason
0,22,Dakota Wilson,dakota.wilson@sample.org,VA,Social Worker,"Monday 10:30 AM, Tuesday 11:00 AM, Tuesday 12:00 PM, Wednesday 12:30 PM, Wednesday 3:00 PM, Thursday 11:00 AM, Friday 1:00 PM",Casey Bennett,casey.bennett@example.com,VA,"Social Worker, Marriage and Family Therapist","Monday 12:00 PM, Monday 3:30 PM, Tuesday 10:00 AM, Tuesday 4:30 PM, Tuesday 5:00 PM, Tuesday 5:30 PM, Tuesday 6:00 PM, Wednesday 8:00 AM, Wednesday 10:00 AM, Wednesday 1:00 PM, Wednesday 2:30 PM, Thursday 8:30 AM, Thursday 4:00 PM, Friday 8:00 AM, Friday 8:30 AM, Friday 9:30 AM, Friday 12:00 PM, Friday 1:00 PM",4,1,0.6413113525934151,1,good_match
4,28,Sam Martinez,sam.martinez@mail.net,IA,Marriage and Family Therapist,"Monday 11:30 AM, Monday 4:30 PM, Monday 5:00 PM, Tuesday 1:00 PM, Wednesday 11:30 AM, Wednesday 1:00 PM, Wednesday 1:30 PM, Wednesday 4:30 PM, Thursday 10:00 AM, Thursday 12:00 PM, Friday 11:00 AM, Friday 5:30 PM",Taylor Lee,taylor.lee@example.com,IA,"Counselor, Marriage and Family Therapist","Monday 9:00 AM, Monday 11:30 AM, Monday 12:00 PM, Tuesday 10:30 AM, Wednesday 8:00 AM, Wednesday 11:30 AM, Wednesday 1:00 PM, Wednesday 1:30 PM, Wednesday 4:30 PM, Thursday 11:00 AM, Thursday 1:30 PM, Friday 10:30 AM, Friday 3:00 PM",6,5,0.8371731119591245,1,good_match
4,56,Sam Martinez,sam.martinez@mail.net,IA,Marriage and Family Therapist,"Monday 11:30 AM, Monday 4:30 PM, Monday 5:00 PM, Tuesday 1:00 PM, Wednesday 11:30 AM, Wednesday 1:00 PM, Wednesday 1:30 PM, Wednesday 4:30 PM, Thursday 10:00 AM, Thursday 12:00 PM, Friday 11:00 AM, Friday 5:30 PM",Emerson Martinez,emerson.martinez@sample.org,IA,"Marriage and Family Therapist, Social Worker, Psychologist","Monday 10:30 AM, Monday 2:00 PM, Monday 4:30 PM, Tuesday 5:00 PM, Wednesday 3:00 PM, Thursday 4:30 PM, Thursday 5:30 PM, Friday 8:00 AM, Friday 9:00 AM, Friday 9:30 AM, Friday 12:00 PM, Friday 2:00 PM, Friday 3:00 PM, Friday 4:00 PM",0,1,0.69456237055886,0,capacity_full
4,58,Sam Martinez,sam.martinez@mail.net,IA,Marriage and Family Therapist,"Monday 11:30 AM, Monday 4:30 PM, Monday 5:00 PM, Tuesday 1:00 PM, Wednesday 11:30 AM, Wednesday 1:00 PM, Wednesday 1:30 PM, Wednesday 4:30 PM, Thursday 10:00 AM, Thursday 12:00 PM, Friday 11:00 AM, Friday 5:30 PM",Reese Lopez,reese.lopez@example.com,IA,"Psychologist, Marriage and Family Therapist, Counselor","Monday 8:30 AM, Monday 3:30 PM, Tuesday 2:00 PM, Wednesday 10:30 AM, Wednesday 12:00 PM, Wednesday 4:00 PM, Thursday 10:30 AM, Thursday 1:30 PM, Friday 9:00 AM, Friday 1:30 PM, Friday 4:30 PM",4,0,0.7791630857641653,1,good_match
5,68,Rowan Garcia,rowan.garcia@sample.org,TN,Social Worker,"Monday 11:00 AM, Monday 1:30 PM, Tuesday 9:30 AM, Tuesday 2:30 PM, Wednesday 10:30 AM, Wednesday 11:00 AM, Thursday 10:30 AM, Friday 9:00 AM, Friday 12:00 PM",Reese Brooks,reese.brooks@mail.net,TN,"Social Worker, Marriage and Family Therapist, Counselor","Monday 8:00 AM, Monday 5:00 PM, Tuesday 9:00 AM, Tuesday 2:30 PM, Tuesday 5:00 PM, Wednesday 8:30 AM, Wednesday 9:00 AM, Thursday 12:30 PM, Friday 10:30 AM, Friday 2:30 PM",2,1,0.6536830604349712,1,good_match
5,76,Rowan Garcia,rowan.garcia@sample.org,TN,Social Worker,"Monday 11:00 AM, Monday 1:30 PM, Tuesday 9:30 AM, Tuesday 2:30 PM, Wednesday 10:30 AM, Wednesday 11:00 AM, Thursday 10:30 AM, Friday 9:00 AM, Friday 12:00 PM",Quinn Reed,quinn.reed@example.com,"CA, TN, CO","Psychologist, Counselor, Social Worker","Monday 11:30 AM, Monday 1:00 PM, Monday 2:30 PM, Monday 5:30 PM, Tuesday 8:30 AM, Tuesday 9:30 AM, Tuesday 6:00 PM, Wednesday 8:30 AM, Wednesday 3:30 PM, Wednesday 5:00 PM, Thursday 8:30 AM, Thursday 1:00 PM, Thursday 3:00 PM, Thursday 5:30 PM, Thursday 6:00 PM, Friday 11:30 AM, Friday 5:30 PM",0,1,0.6159936927615385,0,capacity_full
6,76,Avery Hernandez,avery.hernandez@mail.net,CA,Counselor,"Monday 8:30 AM, Tuesday 9:30 AM, Tuesday 10:30 AM, Tuesday 11:00 AM, Tuesday 4:30 PM, Wednesday 8:00 AM, Wednesday 5:30 PM, Thursday 12:00 PM, Thursday 2:00 PM, Friday 8:30 AM, Friday 12:00 PM, Friday 2:30 PM",Quinn Reed,quinn.reed@example.com,"CA, TN, CO","Psychologist, Counselor, Social Worker","Monday 11:30 AM, Monday 1:00 PM, Monday 2:30 PM, Monday 5:30 PM, Tuesday 8:30 AM, Tuesday 9:30 AM, Tuesday 6:00 PM, Wednesday 8:30 AM, Wednesday 3:30 PM, Wednesday 5:00 PM, Thursday 8:30 AM, Thursday 1:00 PM, Thursday 3:00 PM, Thursday 5:30 PM, Thursday 6:00 PM, Friday 11:30 AM, Friday 5:30 PM",0,1,0.7673047283650322,0,capacity_full
6,94,Avery Hernandez,avery.hernandez@mail.net,CA,Counselor,"Monday 8:30 AM, Tuesday 9:30 AM, Tuesday 10:30 AM, Tuesday 11:00 AM, Tuesday 4:30 PM, Wednesday 8:00 AM, Wednesday 5:30 PM, Thursday 12:00 PM, Thursday 2:00 PM, Friday 8:30 AM, Friday 12:00 PM, Friday 2:30 PM",Emerson Parker,emerson.parker@mail.net,CA,"Marriage and Family Therapist, Counselor, Social Worker","Monday 9:30 AM, Monday 3:30 PM, Monday 4:30 PM, Tuesday 10:00 AM, Tuesday 11:30 AM, Tuesday 12:30 PM, Wednesday 10:00 AM, Thursday 8:00 AM, Thursday 9:00 AM, Thursday 11:30 AM, Thursday 1:00 PM, Friday 4:30 PM",6,0,0.6486323078356216,1,good_match
7,81,Taylor Lopez,taylor.lopez@mail.net,WI,Psychologist,"Tuesday 10:30 AM, Tuesday 12:30 PM, Wednesday 12:00 PM, Thursday 11:30 AM, Thursday 3:00 PM, Friday 10:30 AM, Friday 11:00 AM",Reese Kim,reese.kim@sample.org,WI,"Psychologist, Social Worker, Marriage and Family Therapist","Tuesday 9:30 AM, Tuesday 3:30 PM, Wednesday 10:30 AM, Wednesday 11:00 AM, Wednesday 3:00 PM, Wednesday 4:30 PM, Wednesday 5:00 PM, Thursday 8:30 AM, Thursday 1:00 PM, Friday 9:00 AM, Friday 3:00 PM, Friday 3:30 PM, Friday 4:00 PM, Friday 5:30 PM",3,0,0.5920946237707857,1,good_match
7,88,Taylor Lopez,taylor.lopez@mail.net,WI,Psychologist,"Tuesday 10:30 AM, Tuesday 12:30 PM, Wednesday 12:00 PM, Thursday 11:30 AM, Thursday 3:00 PM, Friday 10:30 AM, Friday 11:00 AM",Rowan Wilson,rowan.wilson@sample.org,WI,"Counselor, Psychologist, Marriage and Family Therapist","Monday 3:30 PM, Tuesday 2:30 PM, Wednesday 8:00 AM, Wednesday 10:30 AM, Wednesday 12:30 PM, Wednesday 2:30 PM, Wednesday 3:00 PM, Thursday 6:00 PM, Friday 1:30 PM, Friday 5:00 PM",5,0,0.5791611736451132,1,good_match
