Timestamp,Email Address,Name,State,Who can you supervise?,Availability,Capacity
,harper.hernandez@mail.net,Harper Hernandez,WV,"Counselor, Social Worker","Monday 9:30 AM, Monday 10:00 AM, Monday 1:30 PM, Monday 2:30 PM, Tuesday 11:00 AM, Tuesday 12:00 PM, Wednesday 2:00 PM, Thursday 8:30 AM, Thursday 11:00 AM, Thursday 2:00 PM, Friday 9:00 AM, Friday 1:00 PM",6
,jamie.garcia@example.com,Jamie Garcia,VT,"Psychologist, Social Worker, Counselor","Monday 8:00 AM, Monday 1:30 PM, Monday 2:00 PM, Monday 2:30 PM, Monday 5:30 PM, Monday 6:00 PM, Tuesday 11:00 AM, Tuesday 3:00 PM, Wednesday 8:30 AM, Wednesday 11:00 AM, Wednesday 2:00 PM, Friday 10:30 AM, Friday 2:30 PM, Friday 5:30 PM",4
,quinn.patel@mail.net,Quinn Patel,AZ,"Psychologist, Marriage and Family Therapist, Social Worker","Monday 10:30 AM, Monday 12:00 PM, Monday 1:00 PM, Monday 2:00 PM, Tuesday 9:30 AM, Tuesday 12:00 PM, Tuesday 4:00 PM, Wednesday 10:00 AM, Wednesday 11:00 AM, Thursday 11:30 AM, Thursday 1:00 PM, Thursday 4:00 PM, Thursday 4:30 PM, Friday 8:00 AM, Friday 11:00 AM, Friday 3:00 PM",4
,taylor.chen@example.com,Taylor Chen,IN,"Marriage and Family Therapist, Psychologist, Social Worker","Monday 6:00 PM, Tuesday 11:30 AM, Tuesday 1:00 PM, Tuesday 2:30 PM, Wednesday 11:00 AM, Wednesday 4:30 PM, Thursday 10:30 AM, Thursday 12:00 PM, Thursday 5:00 PM, Friday 9:30 AM, Friday 10:00 AM, Friday 12:30 PM",2
,dakota.chen@example.com,Dakota Chen,MA,"Marriage and Family Therapist, Social Worker","Monday 4:30 PM, Monday 5:00 PM, Tuesday 11:00 AM, Tuesday 1:00 PM, Tuesday 2:00 PM, Tuesday 5:30 PM, Wednesday 12:00 PM, Wednesday 4:00 PM, Thursday 8:00 AM, Thursday 12:30 PM, Thursday 5:30 PM, Thursday 6:00 PM, Friday 11:30 AM",6
,hayden.moore@sample.org,Hayden Moore,NV,"Psychologist, Counselor, Social Worker","Monday 11:00 AM, Monday 1:30 PM, Monday 3:00 PM, Monday 5:30 PM, Monday 6:00 PM, Wednesday 2:00 PM, Thursday 8:00 AM, Thursday 9:00 AM, Thursday 4:30 PM, Friday 9:30 AM, Friday 2:00 PM, Friday 4:30 PM",5
,skyler.parker@sample.org,Skyler Parker,NJ,"Marriage and Family Therapist, Psychologist, Social Worker","Monday 3:00 PM, Monday 6:00 PM, Tuesday 2:30 PM, Tuesday 4:00 PM, Wednesday 8:30 AM, Wednesday 2:30 PM, Thursday 10:30 AM, Thursday 5:30 PM, Friday 9:30 AM, Friday 2:00 PM, Friday 3:00 PM",4
,emerson.moore@mail.net,Emerson Moore,NC,Marriage and Family Therapist,"Monday 8:00 AM, Monday 9:00 AM, Monday 3:00 PM, Monday 5:30 PM, Monday 6:00 PM, Tuesday 10:00 AM, Tuesday 5:00 PM, Tuesday 6:00 PM, Wednesday 10:00 AM, Wednesday 10:30 AM, Wednesday 6:00 PM, Thursday 10:00 AM, Thursday 11:00 AM, Thursday 2:30 PM, Thursday 3:00 PM, Friday 2:30 PM, Friday 3:30 PM, Friday 5:30 PM",3
,kendall.ramirez@mail.net,Kendall Ramirez,CO,"Psychologist, Social Worker, Marriage and Family Therapist","Tuesday 8:00 AM, Tuesday 11:00 AM, Tuesday 2:00 PM, Wednesday 2:00 PM, Wednesday 5:00 PM, Thursday 10:00 AM, Thursday 11:00 AM, Thursday 11:30 AM, Thursday 3:00 PM, Friday 8:00 AM, Friday 12:30 PM, Friday 2:00 PM",4
,riley.wilson@sample.org,Riley Wilson,TN,"Psychologist, Marriage and Family Therapist","Monday 8:00 AM, Monday 9:00 AM, Monday 10:00 AM, Monday 11:30 AM, Monday 12:00 PM, Monday 12:30 PM, Monday 3:30 PM, Tuesday 11:30 AM, Tuesday 12:00 PM, Tuesday 1:00 PM, Wednesday 8:00 AM, Wednesday 8:30 AM, Thursday 9:00 AM, Thursday 11:30 AM, Thursday 2:00 PM, Thursday 4:30 PM, Friday 11:00 AM",5
,harper.bailey@example.com,Harper Bailey,WA,"Psychologist, Social Worker, Counselor","Monday 11:00 AM, Monday 11:30 AM, Monday 2:00 PM, Tuesday 9:30 AM, Wednesday 8:30 AM, Wednesday 9:30 AM, Wednesday 12:30 PM, Wednesday 1:00 PM, Wednesday 2:00 PM, Wednesday 2:30 PM, Wednesday 4:30 PM, Thursday 5:30 PM, Thursday 6:00 PM, Friday 8:00 AM, Friday 9:00 AM, Friday 12:30 PM",2
,kendall.jenkins@example.com,Kendall Jenkins,OH,"Counselor, Psychologist","Monday 8:30 AM, Monday 11:00 AM, Monday 12:30 PM, Monday 2:00 PM, Tuesday 1:00 PM, Tuesday 3:00 PM, Wednesday 3:00 PM, Wednesday 4:30 PM, Thursday 11:00 AM, Thursday 11:30 AM, Thursday 6:00 PM, Friday 5:30 PM",3
,alex.bailey@example.com,Alex Bailey,NM,Psychologist,"Monday 8:00 AM, Tuesday 8:00 AM, Tuesday 2:00 PM, Tuesday 3:30 PM, Wednesday 11:00 AM, Wednesday 11:30 AM, Wednesday 2:00 PM, Wednesday 4:00 PM, Friday 10:30 AM, Friday 4:00 PM",6
,riley.brown@mail.net,Riley Brown,GA,Marriage and Family Therapist,"Monday 11:00 AM, Monday 11:30 AM, Monday 1:00 PM, Monday 6:00 PM, Tuesday 5:30 PM, Wednesday 5:30 PM, Thursday 8:30 AM, Thursday 9:00 AM, Thursday 10:00 AM, Thursday 11:00 AM, Thursday 1:30 PM, Friday 1:00 PM, Friday 1:30 PM",2
,reese.brown@mail.net,Reese Brown,"MT, DE","Counselor, Marriage and Family Therapist, Social Worker","Tuesday 10:30 AM, Tuesday 12:30 PM, Tuesday 2:00 PM, Tuesday 5:30 PM, Wednesday 1:30 PM, Thursday 9:30 AM, Thursday 12:30 PM, Thursday 1:30 PM, Friday 8:00 AM, Friday 8:30 AM, Friday 11:30 AM",3
,riley.chen@mail.net,Riley Chen,NJ,"Social Worker, Psychologist","Monday 12:00 PM, Monday 12:30 PM, Monday 2:00 PM, Monday 4:00 PM, Monday 6:00 PM, Tuesday 11:00 AM, Tuesday 1:00 PM, Tuesday 2:00 PM, Tuesday 3:30 PM, Wednesday 9:00 AM, Wednesday 10:30 AM, Wednesday 3:00 PM, Thursday 8:30 AM, Thursday 10:30 AM, Thursday 11:00 AM, Thursday 12:30 PM, Thursday 4:00 PM",6
,taylor.jenkins@mail.net,Taylor Jenkins,TX,"Marriage and Family Therapist, Psychologist, Social Worker","Monday 2:30 PM, Monday 3:00 PM, Monday 5:30 PM, Tuesday 10:30 AM, Tuesday 2:00 PM, Tuesday 2:30 PM, Tuesday 3:30 PM, Wednesday 8:30 AM, Thursday 11:30 AM, Thursday 3:00 PM, Friday 11:30 AM, Friday 1:30 PM",4
,elliot.moore@mail.net,Elliot Moore,AR,Psychologist,"Monday 8:00 AM, Monday 10:30 AM, Monday 4:00 PM, Monday 6:00 PM, Tuesday 2:00 PM, Wednesday 8:00 AM, Wednesday 2:00 PM, Wednesday 3:00 PM, Thursday 11:30 AM, Thursday 12:00 PM, Thursday 5:00 PM, Friday 11:00 AM, Friday 1:00 PM, Friday 3:00 PM",0
,emerson.kim@example.com,Emerson Kim,VT,Social Worker,"Monday 10:30 AM, Monday 2:30 PM, Monday 4:00 PM, Monday 5:00 PM, Tuesday 10:30 AM, Tuesday 1:00 PM, Tuesday 5:00 PM, Wednesday 9:30 AM, Wednesday 10:00 AM, Wednesday 2:30 PM, Thursday 11:30 AM, Thursday 1:30 PM, Friday 8:30 AM, Friday 9:30 AM, Friday 4:30 PM",6
,reese.lee@sample.org,Reese Lee,WV,Counselor,"Monday 9:30 AM, Monday 6:00 PM, Tuesday 8:30 AM, Tuesday 1:00 PM, Tuesday 2:30 PM, Wednesday 8:00 AM, Wednesday 1:00 PM, Friday 8:30 AM, Friday 1:00 PM, Friday 4:00 PM, Friday 5:00 PM, Friday 5:30 PM",2
,taylor.gonzalez@sample.org,Taylor Gonzalez,NM,Counselor,"Monday 9:30 AM, Monday 12:00 PM, Tuesday 9:30 AM, Tuesday 11:30 AM, Tuesday 12:00 PM, Tuesday 3:00 PM, Tuesday 5:00 PM, Wednesday 8:00 AM, Wednesday 9:00 AM, Wednesday 12:30 PM, Thursday 9:00 AM, Thursday 10:30 AM, Thursday 5:30 PM, Friday 8:00 AM, Friday 9:00 AM, Friday 3:00 PM, Friday 4:30 PM",2
,casey.brown@example.com,Casey Brown,KY,Marriage and Family Therapist,"Monday 2:30 PM, Monday 3:00 PM, Tuesday 5:30 PM, Wednesday 9:00 AM, Wednesday 2:30 PM, Thursday 9:00 AM, Thursday 2:30 PM, Thursday 3:00 PM, Friday 12:30 PM, Friday 4:00 PM",6
,casey.bennett@example.com,Casey Bennett,VA,"Social Worker, Marriage and Family Therapist","Monday 12:00 PM, Monday 3:30 PM, Tuesday 10:00 AM, Tuesday 4:30 PM, Tuesday 5:00 PM, Tuesday 5:30 PM, Tuesday 6:00 PM, Wednesday 8:00 AM, Wednesday 10:00 AM, Wednesday 1:00 PM, Wednesday 2:30 PM, Thursday 8:30 AM, Thursday 4:00 PM, Friday 8:00 AM, Friday 8:30 AM, Friday 9:30 AM, Friday 12:00 PM, Friday 1:00 PM",4
