Timestamp,Email Address,Name,State,License Type,Availability
,alex.davis@example.com,Alex Davis,ME,Counselor,"Monday 5:00 PM, Tuesday 12:30 PM, Tuesday 4:30 PM, Tuesday 5:30 PM, Tuesday 6:00 PM, Thursday 1:00 PM, Thursday 2:30 PM, Friday 8:00 AM, Friday 9:00 AM, Friday 12:30 PM, Friday 3:00 PM, Friday 6:00 PM"
,logan.cooper@mail.net,Logan Cooper,MD,Marriage and Family Therapist,"Tuesday 8:30 AM, Thursday 12:00 PM, Thursday 2:00 PM, Thursday 4:30 PM, Friday 9:00 AM, Friday 1:00 PM"
,harper.brooks@sample.org,Harper Brooks,AR,Marriage and Family Therapist,"Monday 5:30 PM, Tuesday 9:00 AM, Tuesday 4:30 PM, Tuesday 5:30 PM, Wednesday 11:00 AM, Wednesday 1:00 PM, Wednesday 1:30 PM, Thursday 10:00 AM, Friday 8:30 AM, Friday 10:30 AM, Friday 4:00 PM"
,logan.jenkins@sample.org,Logan Jenkins,PA,Psychologist,"Monday 5:30 PM, Tuesday 10:00 AM, Tuesday 12:00 PM, Tuesday 1:00 PM, Wednesday 8:00 AM, Wednesday 11:00 AM, Thursday 8:00 AM, Thursday 12:30 PM"
,peyton.gonzalez@mail.net,Peyton Gonzalez,AL,Psychologist,"Monday 8:30 AM, Monday 12:00 PM, Monday 5:30 PM, Tuesday 11:00 AM, Tuesday 12:00 PM, Thursday 4:30 PM, Friday 11:00 AM"
,skyler.wilson@mail.net,Skyler Wilson,AR,Psychologist,"Monday 8:00 AM, Monday 8:30 AM, Monday 9:00 AM, Tuesday 3:00 PM, Tuesday 3:30 PM, Wednesday 1:00 PM, Wednesday 6:00 PM, Thursday 10:00 AM, Thursday 10:30 AM, Thursday 11:30 AM, Friday 12:00 PM"
,quinn.gonzalez@sample.org,Quinn Gonzalez,OK,Psychologist,"Monday 8:30 AM, Monday 1:00 PM, Tuesday 8:00 AM, Thursday 8:00 AM, Thursday 5:00 PM, Friday 10:30 AM"
,logan.gonzalez@sample.org,Logan Gonzalez,MI,Social Worker,"Monday 10:30 AM, Monday 12:30 PM, Tuesday 11:00 AM, Tuesday 12:00 PM, Tuesday 2:30 PM, Tuesday 3:00 PM, Wednesday 5:00 PM, Thursday 12:30 PM, Friday 9:30 AM, Friday 10:00 AM"
,jordan.wilson@sample.org,Jordan Wilson,OK,Psychologist,"Monday 9:30 AM, Monday 1:30 PM, Wednesday 9:30 AM, Thursday 11:30 AM, Thursday 2:30 PM, Friday 4:00 PM"
,finley.brooks@sample.org,Finley Brooks,AL,Marriage and Family Therapist,"Monday 1:00 PM, Tuesday 8:00 AM, Tuesday 1:00 PM, Wednesday 11:30 AM, Thursday 9:30 AM, Thursday 12:00 PM, Thursday 1:00 PM, Friday 12:00 PM, Friday 3:30 PM"
,sam.lee@example.com,Sam Lee,AL,Psychologist,"Wednesday 8:00 AM, Wednesday 11:00 AM, Wednesday 2:30 PM, Wednesday 3:00 PM, Thursday 4:00 PM, Thursday 6:00 PM, Friday 5:00 PM, Friday 6:00 PM"
,skyler.reed@example.com,Skyler Reed,LA,Psychologist,"Monday 3:00 PM, Tuesday 9:00 AM, Tuesday 10:00 AM, Thursday 11:00 AM, Thursday 12:30 PM, Thursday 2:00 PM, Friday 9:30 AM, Friday 3:00 PM"
,quinn.clark@sample.org,Quinn Clark,ND,Psychologist,"Monday 12:00 PM, Monday 2:00 PM, Tuesday 5:30 PM, Wednesday 3:00 PM, Wednesday 3:30 PM, Wednesday 5:00 PM, Friday 10:30 AM, Friday 12:00 PM"
,skyler.nguyen@mail.net,Skyler Nguyen,ID,Counselor,"Tuesday 9:00 AM, Tuesday 12:00 PM, Wednesday 12:30 PM, Wednesday 2:00 PM, Wednesday 4:30 PM, Thursday 12:00 PM, Thursday 4:30 PM, Friday 5:00 PM"
,hayden.clark@sample.org,Hayden Clark,ID,Marriage and Family Therapist,"Monday 8:30 AM, Monday 11:00 AM, Monday 4:30 PM, Tuesday 9:30 AM, Wednesday 9:30 AM, Wednesday 11:30 AM, Wednesday 3:30 PM, Wednesday 6:00 PM, Thursday 8:30 AM, Thursday 12:00 PM, Thursday 4:00 PM, Friday 6:00 PM"
,reese.reed@mail.net,Reese Reed,UT,Psychologist,"Monday 9:30 AM, Monday 1:00 PM, Tuesday 8:00 AM, Wednesday 3:00 PM, Wednesday 6:00 PM, Thursday 12:30 PM, Friday 11:00 AM, Friday 2:30 PM, Friday 4:30 PM"
,peyton.clark@example.com,Peyton Clark,LA,Counselor,"Tuesday 8:00 AM, Tuesday 3:30 PM, Wednesday 4:00 PM, Thursday 8:00 AM, Thursday 9:00 AM, Thursday 11:30 AM, Thursday 12:30 PM, Friday 1:30 PM, Friday 3:00 PM, Friday 3:30 PM"
,finley.clark@example.com,Finley Clark,LA,Marriage and Family Therapist,"Monday 10:30 AM, Monday 2:30 PM, Tuesday 11:00 AM, Wednesday 2:00 PM, Wednesday 3:00 PM, Thursday 11:00 AM, Friday 12:00 PM, Friday 1:00 PM, Friday 2:00 PM, Friday 2:30 PM"
,dakota.nguyen@example.com,Dakota Nguyen,PA,Marriage and Family Therapist,"Monday 11:30 AM, Monday 4:30 PM, Tuesday 8:00 AM, Tuesday 10:30 AM, Wednesday 2:00 PM, Thursday 12:30 PM, Thursday 3:30 PM, Thursday 4:30 PM, Friday 11:00 AM, Friday 4:00 PM, Friday 5:30 PM, Friday 6:00 PM"
,jamie.brown@sample.org,Jamie Brown,MS,Psychologist,"Monday 8:00 AM, Monday 1:30 PM, Tuesday 6:00 PM, Wednesday 4:00 PM, Thursday 1:30 PM, Thursday 5:00 PM, Friday 8:30 AM, Friday 12:30 PM, Friday 3:30 PM"
,hayden.bennett@mail.net,Hayden Bennett,CA,Psychologist,"Tuesday 11:00 AM, Tuesday 2:30 PM, Tuesday 3:30 PM, Tuesday 6:00 PM, Wednesday 8:30 AM, Wednesday 2:00 PM, Thursday 8:00 AM"
