assoc_idx,sup_idx,Associate,Associate Email,Associate State,Associate License,Associate Availability,Supervisor,Supervisor Email,Supervisor State,Who can you supervise?,Supervisor Availability,Capacity,AvailabilityOverlap,AvailabilityScore,match_score,final_score
169,47,Harper Chen,harper.chen@example.com,IL,Marriage and Family Therapist,"Monday 11:30 AM, Monday 5:00 PM, Monday 6:00 PM, Tuesday 10:30 AM, Tuesday 1:30 PM, Tuesday 3:30 PM, Tuesday 4:00 PM, Thursday 11:00 AM, Friday 9:30 AM, Friday 10:00 AM, Friday 2:00 PM, Friday 4:00 PM",Alex Bennett,alex.bennett@sample.org,IL,"Marriage and Family Therapist, Psychologist, Counselor","Monday 9:30 AM, Monday 11:00 AM, Monday 3:30 PM, Monday 4:00 PM, Tuesday 10:30 AM, Tuesday 12:30 PM, Tuesday 2:30 PM, Tuesday 3:30 PM, Wednesday 3:00 PM, Wednesday 6:00 PM, Thursday 11:30 AM, Thursday 3:00 PM, Thursday 4:30 PM, Friday 10:30 AM, Friday 11:00 AM, Friday 2:30 PM, Friday 5:00 PM",6,2,0.8745730213625752,0.9245248840625174,0.8995489527125463
64,99,Casey Clark,casey.clark@mail.net,MN,Psychologist,"Monday 1:00 PM, Monday 4:30 PM, Tuesday 1:00 PM, Tuesday 3:00 PM, Thursday 11:30 AM, Thursday 2:30 PM, Thursday 5:30 PM, Friday 4:30 PM",Jordan Ramirez,jordan.ramirez@mail.net,MN,"Counselor, Psychologist","Monday 11:00 AM, Monday 2:00 PM, Monday 2:30 PM, Monday 3:30 PM, Monday 5:00 PM, Monday 6:00 PM, Tuesday 12:30 PM, Tuesday 1:00 PM, Tuesday 2:30 PM, Tuesday 4:00 PM, Tuesday 5:30 PM, Wednesday 11:30 AM, Wednesday 1:30 PM, Wednesday 3:30 PM, Wednesday 4:30 PM, Thursday 12:00 PM, Thursday 3:30 PM, Friday 6:00 PM",6,1,0.8384864212035605,0.9455866586109054,0.892036539907233
129,27,Alex Cooper,alex.cooper@example.com,"OK, TN, RI",Marriage and Family Therapist,"Monday 12:00 PM, Monday 2:30 PM, Tuesday 3:00 PM, Tuesday 6:00 PM, Wednesday 8:30 AM, Wednesday 5:30 PM, Thursday 5:00 PM, Friday 9:30 AM",Kendall Martinez,kendall.martinez@sample.org,OK,"Counselor, Marriage and Family Therapist","Monday 12:30 PM, Tuesday 12:30 PM, Tuesday 1:00 PM, Tuesday 2:00 PM, Tuesday 2:30 PM, Tuesday 3:00 PM, Tuesday 3:30 PM, Wednesday 3:00 PM, Wednesday 3:30 PM, Wednesday 6:00 PM, Thursday 9:30 AM, Thursday 4:30 PM, Thursday 5:00 PM, Friday 11:30 AM, Friday 2:00 PM, Friday 3:00 PM, Friday 3:30 PM",6,2,0.8474849992747822,0.9307915151395209,0.8891382572071516
187,79,Emerson Reed,emerson.reed@example.com,WV,Marriage and Family Therapist,"Monday 5:00 PM, Monday 6:00 PM, Tuesday 9:00 AM, Tuesday 11:30 AM, Wednesday 1:00 PM, Thursday 9:00 AM, Thursday 5:30 PM",Sam Nguyen,sam.nguyen@example.com,WV,"Social Worker, Marriage and Family Therapist, Counselor","Monday 9:00 AM, Monday 12:30 PM, Monday 2:00 PM, Monday 4:30 PM, Monday 5:30 PM, Tuesday 9:00 AM, Tuesday 9:30 AM, Tuesday 11:00 AM, Tuesday 11:30 AM, Tuesday 4:00 PM, Tuesday 5:00 PM, Wednesday 8:30 AM, Wednesday 10:00 AM, Wednesday 6:00 PM, Thursday 8:30 AM, Thursday 11:00 AM, Friday 3:00 PM, Friday 4:00 PM",6,2,0.8351623330222724,0.9334799762027868,0.8843211546125296
35,67,Skyler Rivera,skyler.rivera@example.com,MN,Counselor,"Monday 10:30 AM, Monday 2:30 PM, Wednesday 8:00 AM, Wednesday 12:30 PM, Wednesday 2:30 PM, Thursday 12:30 PM, Thursday 3:30 PM, Thursday 5:30 PM, Friday 9:00 AM, Friday 2:00 PM, Friday 4:30 PM",Quinn Hernandez,quinn.hernandez@mail.net,"RI, MD, MN",Counselor,"Monday 2:30 PM, Monday 3:00 PM, Tuesday 11:30 AM, Tuesday 3:00 PM, Wednesday 9:00 AM, Wednesday 10:30 AM, Wednesday 5:30 PM, Thursday 12:00 PM, Thursday 1:00 PM, Friday 8:00 AM, Friday 2:30 PM, Friday 5:30 PM",6,1,0.7933517309465823,0.9530632155707729,0.8732074732586776
175,4,Peyton Ramirez,peyton.ramirez@example.com,MA,Social Worker,"Monday 12:30 PM, Tuesday 4:30 PM, Wednesday 9:30 AM, Wednesday 6:00 PM, Thursday 11:30 AM, Thursday 1:00 PM, Thursday 3:30 PM, Thursday 4:30 PM, Friday 8:00 AM, Friday 11:00 AM, Friday 4:00 PM, Friday 4:30 PM",Dakota Chen,dakota.chen@example.com,MA,"Marriage and Family Therapist, Social Worker","Monday 4:30 PM, Monday 5:00 PM, Tuesday 11:00 AM, Tuesday 1:00 PM, Tuesday 2:00 PM, Tuesday 5:30 PM, Wednesday 12:00 PM, Wednesday 4:00 PM, Thursday 8:00 AM, Thursday 12:30 PM, Thursday 5:30 PM, Thursday 6:00 PM, Friday 11:30 AM",6,0,0.7824169871258652,0.9635204646793118,0.8729687259025884
27,49,Casey Nguyen,casey.nguyen@mail.net,FL,Marriage and Family Therapist,"Monday 12:00 PM, Monday 5:00 PM, Tuesday 8:00 AM, Tuesday 2:30 PM, Tuesday 3:00 PM, Wednesday 1:30 PM, Wednesday 2:30 PM, Thursday 8:00 AM",Elliot Chen,elliot.chen@mail.net,FL,Marriage and Family Therapist,"Monday 8:00 AM, Monday 5:30 PM, Tuesday 2:30 PM, Tuesday 3:30 PM, Tuesday 4:30 PM, Wednesday 8:30 AM, Wednesday 3:30 PM, Wednesday 5:30 PM, Wednesday 6:00 PM, Thursday 8:30 AM, Thursday 10:30 AM, Thursday 1:30 PM, Thursday 2:00 PM, Friday 8:00 AM, Friday 12:00 PM, Friday 4:00 PM",6,1,0.7917362297395789,0.953311859550699,0.872524044645139
91,99,Finley Lee,finley.lee@mail.net,MN,Counselor,"Monday 10:00 AM, Monday 5:30 PM, Tuesday 1:00 PM, Tuesday 3:00 PM, Wednesday 3:30 PM, Thursday 3:30 PM, Thursday 4:00 PM",Jordan Ramirez,jordan.ramirez@mail.net,MN,"Counselor, Psychologist","Monday 11:00 AM, Monday 2:00 PM, Monday 2:30 PM, Monday 3:30 PM, Monday 5:00 PM, Monday 6:00 PM, Tuesday 12:30 PM, Tuesday 1:00 PM, Tuesday 2:30 PM, Tuesday 4:00 PM, Tuesday 5:30 PM, Wednesday 11:30 AM, Wednesday 1:30 PM, Wednesday 3:30 PM, Wednesday 4:30 PM, Thursday 12:00 PM, Thursday 3:30 PM, Friday 6:00 PM",6,3,0.8181111845685494,0.9223695115132358,0.8702403480408926
84,47,Elliot Reed,elliot.reed@sample.org,IL,Counselor,"Monday 2:30 PM, Monday 3:30 PM, Monday 5:30 PM, Tuesday 8:00 AM, Tuesday 5:30 PM, Wednesday 9:30 AM, Wednesday 1:00 PM, Wednesday 3:30 PM, Wednesday 4:30 PM, Thursday 10:30 AM, Thursday 1:30 PM, Friday 3:00 PM",Alex Bennett,alex.bennett@sample.org,IL,"Marriage and Family Therapist, Psychologist, Counselor","Monday 9:30 AM, Monday 11:00 AM, Monday 3:30 PM, Monday 4:00 PM, Tuesday 10:30 AM, Tuesday 12:30 PM, Tuesday 2:30 PM, Tuesday 3:30 PM, Wednesday 3:00 PM, Wednesday 6:00 PM, Thursday 11:30 AM, Thursday 3:00 PM, Thursday 4:30 PM, Friday 10:30 AM, Friday 11:00 AM, Friday 2:30 PM, Friday 5:00 PM",6,1,0.7851959583356254,0.9543057354791523,0.8697508469073889
117,27,Jamie Parker,jamie.parker@sample.org,OK,Marriage and Family Therapist,"Monday 8:30 AM, Monday 3:00 PM, Monday 5:00 PM, Monday 5:30 PM, Tuesday 3:00 PM, Wednesday 1:30 PM, Wednesday 4:00 PM, Thursday 9:30 AM, Thursday 2:00 PM, Thursday 4:00 PM, Friday 10:30 AM, Friday 4:00 PM",Kendall Martinez,kendall.martinez@sample.org,OK,"Counselor, Marriage and Family Therapist","Monday 12:30 PM, Tuesday 12:30 PM, Tuesday 1:00 PM, Tuesday 2:00 PM, Tuesday 2:30 PM, Tuesday 3:00 PM, Tuesday 3:30 PM, Wednesday 3:00 PM, Wednesday 3:30 PM, Wednesday 6:00 PM, Thursday 9:30 AM, Thursday 4:30 PM, Thursday 5:00 PM, Friday 11:30 AM, Friday 2:00 PM, Friday 3:00 PM, Friday 3:30 PM",6,2,0.794775140348123,0.9416252703573806,0.8682002053527518
