SupervisorID,Timestamp,Email Address,Name,State,Who can you supervise?,Availability,Capacity
S000,,casey.patel@sample.org,Casey Patel,CA,"LCSW, LMSW, LPCC","Mon PM, Sat PM, Wed AM, Mon AM, Sat Eve",4
S001,,sam.garcia@mail.net,Sam Garcia,SC,"LMHC, LCSW, LPCC","Mon PM, Fri AM, Sat Eve, Tue AM",1
S002,,jordan.nguyen@sample.org,Jordan Nguyen,CA,LPCC,"Thu AM, Tue Eve, Tue AM",2
S003,,sam.davis@sample.org,Sam Davis,SC,"LCSW, LPCC, LMFT","Sat Eve, Fri PM, Thu PM, Wed PM, Thu AM, Fri Eve",3
S004,,taylor.patel@mail.net,Taylor Patel,GA,LPCC,"Sat PM, Sat AM, Thu PM, Thu Eve, Wed PM",3
S005,,sam.kim@mail.net,Sam Kim,PA,"LMFT, LPC","Sat AM, Fri PM, Mon PM, Thu PM",1
S006,,cameron.hernandez@example.com,Cameron Hernandez,TX,"LPC, LPCC, LMHC","Mon Eve, Sat Eve, Wed Eve, Wed PM, Thu Eve, Thu PM",1
S007,,quinn.clark@sample.org,Quinn Clark,FL,"LPCC, LMHC, LPC","Thu Eve, Mon AM, Fri Eve, Tue Eve, Mon Eve, Thu AM",1
S008,,alex.garcia@sample.org,Alex Garcia,FL,LMSW,"Fri AM, Sat Eve, Sat AM, Mon PM",2
S009,,riley.davis@example.com,Riley Davis,FL,LMHC,"Fri PM, Thu Eve, Fri AM, Tue AM, Mon Eve",1
S010,,jordan.garcia@mail.net,Jordan Garcia,GA,LMHC,"Wed Eve, Thu AM, Mon AM, Mon Eve",4
S011,,casey.wilson@sample.org,Casey Wilson,OH,"LMFT, LPCC","Fri Eve, Fri AM, Sat PM",4
S012,,sam.brown@sample.org,Sam Brown,CA,LMFT,"Wed AM, Fri Eve, Tue Eve",1
S013,,cameron.lee@example.com,Cameron Lee,SC,LPCC,"Sat Eve, Tue AM, Thu Eve, Thu AM",1
S014,,taylor.wilson@sample.org,Taylor Wilson,CA,LMSW,"Thu Eve, Sat Eve, Sat AM, Mon PM, Fri Eve",4
S015,,avery.brown@mail.net,Avery Brown,FL,LMFT,"Thu PM, Wed Eve, Sat AM",2
S016,,alex.garcia@mail.net,Alex Garcia,PA,"LMFT, LPCC","Sat PM, Thu AM, Mon Eve",3
S017,,casey.patel@example.com,Casey Patel,TX,LPCC,"Wed PM, Wed AM, Sat Eve, Fri PM, Sat PM",2
S018,,jamie.brown@sample.org,Jamie Brown,TX,"LCSW, LMSW, LPC","Wed Eve, Wed AM, Thu Eve, Wed PM, Fri AM, Sat AM",3
S019,,sam.garcia@sample.org,Sam Garcia,SC,LMHC,"Thu PM, Wed AM, Sat AM, Thu AM",1
S020,,drew.hernandez@sample.org,Drew Hernandez,SC,"LCSW, LMHC, LMFT","Tue Eve, Fri PM, Thu PM, Mon PM, Fri AM, Thu Eve",4
S021,,riley.clark@mail.net,Riley Clark,SC,"LMFT, LMSW, LPCC","Tue PM, Fri Eve, Sat Eve",4
S022,,casey.patel@example.com,Casey Patel,PA,"LMFT, LCSW, LPCC","Sat PM, Tue PM, Fri PM",2
S023,,alex.nguyen@sample.org,Alex Nguyen,GA,"LPCC, LMFT","Wed Eve, Fri PM, Tue PM, Mon AM, Thu Eve",3
